Wavelength (micron)	F2 Net System Transmission with Ks Filter (BARR MAN317A; Gemini ID Ks_G0804) (1=100%)
1.9544	0.0023
1.9549	0.0025
1.9554	0.0026
1.9559	0.0028
1.9564	0.0030
1.9569	0.0031
1.9574	0.0033
1.9579	0.0035
1.9584	0.0037
1.9589	0.0039
1.9594	0.0041
1.9599	0.0044
1.9604	0.0047
1.9609	0.0050
1.9614	0.0053
1.9619	0.0057
1.9624	0.0061
1.9629	0.0065
1.9634	0.0070
1.9639	0.0075
1.9644	0.0080
1.9649	0.0086
1.9654	0.0093
1.9659	0.0101
1.9664	0.0108
1.9669	0.0117
1.9674	0.0125
1.9679	0.0133
1.9684	0.0146
1.9689	0.0156
1.9694	0.0170
1.9699	0.0184
1.9704	0.0196
1.9709	0.0212
1.9714	0.0230
1.9719	0.0251
1.9724	0.0269
1.9729	0.0294
1.9734	0.0318
1.9739	0.0340
1.9744	0.0367
1.9749	0.0400
1.9754	0.0438
1.9759	0.0470
1.9764	0.0511
1.9769	0.0547
1.9774	0.0601
1.9779	0.0652
1.9784	0.0708
1.9789	0.0770
1.9794	0.0823
1.9799	0.0886
1.9804	0.0955
1.9809	0.1022
1.9814	0.1134
1.9819	0.1227
1.9824	0.1314
1.9829	0.1404
1.9834	0.1490
1.9839	0.1593
1.9844	0.1708
1.9849	0.1844
1.9854	0.1942
1.9859	0.2089
1.9864	0.2198
1.9869	0.2345
1.9874	0.2564
1.9879	0.2697
1.9884	0.2892
1.9889	0.3051
1.9894	0.3185
1.9899	0.3347
1.9904	0.3527
1.9909	0.3728
1.9914	0.3884
1.9919	0.4068
1.9924	0.4245
1.9929	0.4394
1.9934	0.4619
1.9939	0.4839
1.9944	0.5008
1.9949	0.5176
1.9954	0.5384
1.9959	0.5499
1.9964	0.5689
1.9969	0.5846
1.9974	0.6043
1.9979	0.6170
1.9984	0.6235
1.9989	0.6394
1.9994	0.6444
1.9999	0.6541
2.0004	0.6633
2.0009	0.6707
2.0014	0.6785
2.0019	0.6842
2.0024	0.6885
2.0029	0.6940
2.0034	0.6974
2.0039	0.7062
2.0044	0.7030
2.0049	0.7038
2.0054	0.7064
2.0059	0.7080
2.0064	0.7073
2.0069	0.7084
2.0074	0.7086
2.0079	0.7084
2.0084	0.7135
2.0089	0.7061
2.0094	0.7065
2.0099	0.7064
2.0104	0.7040
2.0109	0.7040
2.0114	0.7028
2.0119	0.7022
2.0124	0.7018
2.0129	0.6998
2.0134	0.7042
2.0139	0.6988
2.0144	0.7015
2.0149	0.7001
2.0155	0.6940
2.0160	0.6926
2.0165	0.6926
2.0170	0.6911
2.0175	0.6858
2.0180	0.6920
2.0185	0.6908
2.0190	0.6855
2.0195	0.6861
2.0200	0.6863
2.0205	0.6831
2.0210	0.6883
2.0215	0.6880
2.0220	0.6947
2.0225	0.6941
2.0230	0.6931
2.0235	0.6880
2.0240	0.6930
2.0245	0.6936
2.0250	0.6883
2.0255	0.6883
2.0260	0.6897
2.0265	0.6902
2.0270	0.6906
2.0275	0.6960
2.0280	0.6911
2.0285	0.6965
2.0290	0.6966
2.0295	0.7002
2.0300	0.6945
2.0305	0.6949
2.0310	0.6948
2.0315	0.6949
2.0320	0.6981
2.0325	0.6928
2.0330	0.6937
2.0335	0.6979
2.0340	0.6968
2.0345	0.6914
2.0350	0.6967
2.0355	0.6961
2.0360	0.6898
2.0365	0.6940
2.0370	0.6942
2.0375	0.6934
2.0380	0.6923
2.0385	0.6913
