Wavelength (micron)	F2 Net System Transmission with H Filter (BARR MAN114A; Gemini ID H_G0803)(1=100%)
1.5083	0.7485
1.5088	0.7475
1.5093	0.7457
1.5098	0.7445
1.5103	0.7403
1.5108	0.7430
1.5113	0.7394
1.5118	0.7429
1.5123	0.7386
1.5128	0.7428
1.5133	0.7424
1.5138	0.7395
1.5143	0.7439
1.5148	0.7466
1.5153	0.7433
1.5158	0.7440
1.5163	0.7413
1.5168	0.7462
1.5173	0.7434
1.5178	0.7450
1.5183	0.7505
1.5188	0.7508
1.5193	0.7484
1.5198	0.7534
1.5203	0.7535
1.5208	0.7516
1.5213	0.7561
1.5218	0.7530
1.5223	0.7644
1.5228	0.7625
1.5233	0.7608
1.5238	0.7595
1.5243	0.7539
1.5248	0.7536
1.5253	0.7529
1.5258	0.7510
1.5263	0.7411
1.5268	0.7461
1.5273	0.7461
1.5278	0.7443
1.5283	0.7491
1.5288	0.7493
1.5293	0.7541
1.5298	0.7503
1.5303	0.7547
1.5308	0.7583
1.5313	0.7539
1.5318	0.7579
1.5323	0.7572
1.5328	0.7532
1.5333	0.7571
1.5338	0.7538
1.5343	0.7544
1.5348	0.7525
1.5353	0.7569
1.5358	0.7550
1.5363	0.7605
1.5368	0.7610
1.5373	0.7595
1.5378	0.7647
1.5383	0.7656
1.5388	0.7704
1.5393	0.7673
1.5398	0.7716
1.5403	0.7628
1.5408	0.7688
1.5413	0.7713
1.5418	0.7732
1.5423	0.7750
1.5428	0.7778
1.5433	0.7795
1.5438	0.7810
1.5443	0.7864
1.5448	0.7872
1.5453	0.7847
1.5458	0.7896
1.5463	0.7801
1.5468	0.7839
1.5473	0.7872
1.5478	0.7903
1.5483	0.8070
1.5488	0.8094
1.5493	0.8045
1.5498	0.8043
1.5503	0.8063
1.5508	0.8046
1.5513	0.8029
1.5518	0.8010
1.5523	0.7897
1.5528	0.7904
1.5533	0.7909
1.5538	0.7924
1.5543	0.7966
1.5548	0.8000
1.5553	0.7991
1.5558	0.7945
1.5563	0.7981
1.5568	0.7967
1.5573	0.7957
1.5578	0.7947
1.5583	0.7900
1.5588	0.7900
1.5593	0.7899
1.5598	0.7887
1.5603	0.7889
1.5608	0.7882
1.5613	0.7871
1.5618	0.7870
1.5623	0.7855
1.5628	0.7878
1.5633	0.7831
1.5638	0.7814
1.5643	0.7835
1.5648	0.7782
1.5653	0.7794
1.5658	0.7772
1.5663	0.7682
1.5668	0.7669
1.5673	0.7666
1.5678	0.7652
1.5683	0.7672
1.5688	0.7620
1.5693	0.7635
1.5698	0.7586
1.5703	0.7544
1.5708	0.7567
1.5713	0.7525
1.5718	0.7552
1.5723	0.7626
1.5728	0.7595
1.5733	0.7550
1.5738	0.7510
1.5743	0.7449
1.5748	0.7409
1.5753	0.7351
1.5758	0.7370
1.5763	0.7279
1.5768	0.7247
1.5773	0.7251
1.5778	0.7281
1.5783	0.7285
1.5788	0.7312
1.5793	0.7272
1.5798	0.7310
1.5803	0.7272
1.5808	0.7308
1.5813	0.7282
1.5818	0.7284
1.5823	0.7360
1.5828	0.7386
1.5833	0.7341
1.5838	0.7345
1.5843	0.7342
1.5848	0.7344
1.5853	0.7351
1.5858	0.7351
1.5863	0.7296
1.5868	0.7355
1.5873	0.7337
1.5878	0.7370
1.5883	0.7427
1.5888	0.7447
1.5893	0.7469
1.5898	0.7456
1.5903	0.7458
1.5908	0.7503
1.5913	0.7508
1.5918	0.7592
1.5923	0.7761
1.5928	0.7758
1.5933	0.7768
1.5938	0.7774
1.5943	0.7773
1.5948	0.7781
1.5953	0.7747
1.5958	0.7793
1.5963	0.7730
1.5968	0.7778
1.5973	0.7791
1.5978	0.7798
