Wavelength (micron)	F2 Net System Transmission with J Filter (BARR MAN256-1; Gemini ID J_G0802) (1=100%)
1.2570	0.5956
1.2575	0.5953
1.2580	0.5950
1.2585	0.5950
1.2590	0.5952
1.2595	0.5946
1.2600	0.5943
1.2605	0.5940
1.2610	0.5941
1.2615	0.5942
1.2620	0.5945
1.2625	0.5950
1.2630	0.5956
1.2635	0.5975
1.2640	0.5995
1.2645	0.6016
1.2650	0.6040
1.2655	0.6059
1.2660	0.6075
1.2665	0.6095
1.2670	0.6112
1.2675	0.6128
1.2680	0.6145
1.2685	0.6160
1.2690	0.6173
1.2695	0.6190
1.2700	0.6204
1.2705	0.6218
1.2710	0.6228
1.2715	0.6244
1.2720	0.6257
1.2725	0.6268
1.2730	0.6277
1.2735	0.6277
1.2740	0.6275
1.2745	0.6272
1.2750	0.6267
1.2755	0.6254
1.2760	0.6240
1.2765	0.6225
1.2770	0.6209
1.2775	0.6202
1.2780	0.6194
1.2785	0.6185
1.2790	0.6182
1.2795	0.6181
1.2800	0.6184
1.2805	0.6186
1.2810	0.6190
1.2815	0.6189
1.2820	0.6187
1.2825	0.6187
1.2830	0.6191
1.2835	0.6190
1.2840	0.6191
1.2845	0.6195
1.2850	0.6197
1.2855	0.6210
1.2860	0.6222
1.2865	0.6235
1.2870	0.6251
1.2875	0.6273
1.2880	0.6294
1.2885	0.6314
1.2890	0.6333
1.2895	0.6340
1.2900	0.6349
1.2905	0.6355
1.2910	0.6358
1.2915	0.6359
1.2920	0.6357
1.2925	0.6355
1.2930	0.6349
1.2935	0.6345
1.2940	0.6342
1.2945	0.6336
1.2950	0.6329
1.2955	0.6322
1.2960	0.6313
1.2965	0.6303
1.2970	0.6295
1.2975	0.6284
1.2980	0.6276
1.2985	0.6268
1.2990	0.6260
1.2995	0.6256
1.3000	0.6249
1.3005	0.6245
1.3010	0.6243
1.3015	0.6234
1.3020	0.6226
1.3025	0.6218
1.3030	0.6210
1.3035	0.6216
1.3040	0.6221
1.3045	0.6225
1.3050	0.6230
1.3055	0.6232
1.3060	0.6231
1.3065	0.6232
1.3070	0.6229
1.3075	0.6225
1.3080	0.6219
1.3085	0.6210
1.3090	0.6202
1.3095	0.6192
1.3100	0.6186
1.3105	0.6180
1.3110	0.6173
1.3115	0.6170
1.3120	0.6169
1.3125	0.6168
1.3130	0.6171
1.3135	0.6182
1.3140	0.6195
1.3145	0.6212
1.3150	0.6229
1.3155	0.6242
1.3160	0.6256
1.3165	0.6271
1.3170	0.6287
1.3175	0.6296
1.3180	0.6303
1.3185	0.6311
1.3190	0.6316
1.3195	0.6316
1.3200	0.6313
1.3205	0.6302
1.3210	0.6284
1.3215	0.6254
1.3220	0.6213
1.3225	0.6161
1.3230	0.6102
1.3235	0.6030
1.3240	0.5954
1.3245	0.5863
1.3250	0.5753
1.3255	0.5650
1.3260	0.5537
1.3265	0.5419
1.3270	0.5295
1.3275	0.5157
1.3280	0.5012
1.3285	0.4845
1.3290	0.4692
1.3295	0.4526
1.3300	0.4366
1.3305	0.4188
1.3310	0.4005
1.3315	0.3828
1.3320	0.3629
1.3325	0.3450
1.3330	0.3262
1.3335	0.3075
1.3340	0.2876
1.3345	0.2667
1.3350	0.2477
1.3355	0.2277
1.3360	0.2094
1.3365	0.1920
1.3370	0.1738
1.3375	0.1564
1.3380	0.1398
1.3385	0.1253
1.3390	0.1117
1.3395	0.1001
1.3400	0.0888
1.3405	0.0781
1.3410	0.0684
1.3415	0.0601
1.3420	0.0530
1.3425	0.0468
1.3430	0.0413
1.3435	0.0363
1.3440	0.0315
1.3445	0.0277
1.3450	0.0243
1.3455	0.0215
1.3460	0.0190
1.3465	0.0168
1.3470	0.0150
1.3475	0.0131
1.3480	0.0117
1.3485	0.0105
1.3490	0.0094
1.3495	0.0085
1.3500	0.0076
1.3505	0.0068
1.3510	0.0062
1.3515	0.0056
1.3520	0.0051
1.3525	0.0046
1.3530	0.0042
1.3535	0.0038
1.3540	0.0035
1.3545	0.0032
1.3550	0.0029
1.3555	0.0027
1.3560	0.0025
1.3565	0.0023
1.3570	0.0021
1.3575	0.0020
1.3580	0.0019
1.3585	0.0017
1.3590	0.0016
1.3595	0.0015
1.3600	0.0014
1.3605	0.0013
1.3610	0.0013
1.3615	0.0012
1.3620	0.0011
1.3625	0.0010
1.3630	0.0009
1.3635	0.0009
1.3640	0.0008
1.3645	0.0008
1.3650	0.0007
1.3655	0.0007
1.3660	0.0006
1.3665	0.0006
1.3670	0.0006
1.3675	0.0005
1.3680	0.0005
1.3685	0.0005
1.3690	0.0005
1.3695	0.0004
1.3700	0.0004
1.3705	0.0004
1.3710	0.0003
1.3715	0.0003
1.3720	0.0003
1.3725	0.0003
